,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
101,STARK,587.0,i | 1 | 2 | 3,,4.12,-0.48,74148000.0,301876.0,49054.0,27.47,11.77,6.35,,0.15,11.74,54.18,9.46,,28.84,,336.0,458.0,0.1,,54.05327480210538,,,
103,SUN,596.0,i | 1 | 2 | 3,,6.9,-0.72,18964000.0,133764.0,4450.0,20.89,4.23,0.27,0.05,0.33,18.37,22.28,4.66,0.96,26.49,,348.0,309.0,-0.08,,52.16345680566796,,,
104,SVI,601.0,i | 1 | 2 | 3,,4.88,0.83,15463500.0,76477.0,10593.0,17.28,2.53,1.64,0.11,0.28,7.05,15.65,4.26,2.27,18.66,,365.0,475.0,21.39,,56.86288821896689,,,
107,THANI,631.0,i | 1 | 2 | 3,,4.94,-0.8,14109600.0,70112.0,27975.0,15.35,2.48,3.48,0.17,0.32,6.71,19.41,41.36,3.41,30.84,,298.0,464.0,0.73,,54.51011979861595,,,
108,TMI,654.0,i | 1 | 3,,1.25,-5.3,36430200.0,46530.0,839.0,43.57,4.31,1.3,,0.03,5.79,10.31,0.94,,33.65,,679.0,746.0,-0.64,,61.01766723445924,,,
111,TOA,665.0,i | 1 | 3,,34.0,1.49,2287300.0,76381.0,68986.0,30.25,5.67,0.45,0.26,1.12,16.41,20.09,14.84,1.58,25.02,,451.0,407.0,4.74,,58.90685367089797,,,
113,TPLAS,676.0,i | 1 | 3,,5.0,-2.91,16328300.0,83010.0,1350.0,35.21,4.20,0.2,0.10,0.14,12.59,12.16,7.65,1.94,25.73,,598.0,496.0,1.61,,66.14803785084924,,,
114,TPS,679.0,i | 1 | 3,,2.3,0.0,8901400.0,20903.0,773.0,17.15,2.04,0.63,0.04,0.13,9.27,11.69,2.08,1.45,34.6,,434.0,403.0,1.68,,51.98755546633441,,,
121,VIBHA,733.0,i | 1 | 2 | 3,,2.44,0.0,65205600.0,159769.0,33125.0,67.51,3.75,1.28,0.04,0.04,4.26,6.03,13.9,1.64,33.4,,870.0,894.0,-11.62,,55.94303313888002,,,
122,VIH,734.0,i | 1 | 2 | 3,,12.9,-3.73,3461900.0,44662.0,7362.0,36.34,5.04,0.65,0.13,0.35,11.58,14.45,9.77,0.93,29.03,,559.0,526.0,2.27,,58.429147534979364,,,
124,VNG,736.0,i | 1 | 2 | 3,,7.45,-3.87,2847900.0,21417.0,12928.0,,2.03,2.02,,0.0,-0.06,-4.5,4.12,,22.19,,,,,,57.8133859460748,,,
125,VNT,737.0,i | 1 | 3,,37.5,0.0,803500.0,30146.0,44445.0,15.98,1.87,0.18,0.90,2.35,12.34,12.01,22.95,2.40,16.24,,414.0,311.0,0.37,,55.89939686805909,,,
127,WINMED,749.0,i,,6.9,0.0,15266300.0,104544.0,0.0,,-,,-,0.0,13.0,24.74,8.87,-,28.83,,,,,,57.93373545756311,,,
