,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
54,IHL,253.0,i | 1 | 2 | 3,,4.24,-1.85,1544600.0,6550.0,2513.0,,1.59,1.37,,0.0,1.05,-0.19,10.22,,34.89,,,,,,,,,
55,III,255.0,i | 1 | 2 | 3,,11.9,-2.46,9484300.0,113355.0,7252.0,33.36,5.20,0.86,0.10,0.36,9.86,16.2,12.16,0.81,34.88,,521.0,553.0,4.14,,,,,
56,ILM,257.0,i | 1 | 3,,13.7,-3.52,1870800.0,25869.0,6919.0,15.43,1.32,1.55,0.27,0.89,5.87,8.7,6.77,2.96,24.87,,492.0,506.0,-0.53,,,,,
58,INOX,262.0,i | 1 | 3,,1.18,-3.28,33976200.0,39467.0,9199.0,46.17,1.01,0.22,,0.03,2.11,2.22,4.16,,15.31,,943.0,950.0,0.87,,,,,
59,J,274.0,i | 1 | 3,,2.8,-4.76,6257700.0,17857.0,2601.0,42.78,1.37,1.42,0.03,0.07,3.89,4.15,16.05,1.02,22.98,,867.0,845.0,-0.51,,,,,
60,KEX,299.0,i,,38.75,-1.27,2971900.0,115182.0,67425.0,50.5,6.06,0.78,0.22,0.77,9.96,12.22,7.18,0.56,26.82,,658.0,624.0,,,,,,
61,KISS,302.0,i,,11.1,-3.48,3474600.0,38486.0,6660.0,45.59,7.35,0.95,0.04,0.24,18.18,18.72,18.39,0.35,34.2,,545.0,477.0,,,,,,
62,KSL,307.0,i | 1 | 2 | 3,,3.2,-5.88,15775300.0,51136.0,14113.0,20.08,0.73,1.27,,0.16,2.96,3.76,10.03,,27.81,,716.0,725.0,-1.76,,,,,
64,KUMWEL,311.0,i | 1 | 3,,3.94,-1.5,3385500.0,13249.0,1694.0,34.35,3.28,0.23,0.09,0.11,10.42,9.75,13.67,2.25,33.09,,653.0,545.0,0.35,,,,,
65,KWM,315.0,i | 1 | 3,,5.35,-1.83,1757200.0,9362.0,2247.0,35.43,5.75,0.31,0.07,0.15,14.93,17.16,16.23,1.32,26.85,,520.0,458.0,1.47,,,,,
66,LALIN,318.0,i | 1 | 2 | 3,,9.1,-1.09,1330000.0,11992.0,8417.0,5.98,1.08,0.67,0.36,1.52,14.25,19.25,20.93,6.63,31.61,,122.0,89.0,0.19,,,,,
67,LANNA,319.0,i | 1 | 2 | 3,,18.4,0.55,3943900.0,72541.0,9660.0,27.54,2.05,0.73,0.30,0.67,8.57,7.48,13.69,2.46,24.48,,665.0,537.0,1.76,,,,,
69,MAKRO,336.0,i | 1 | 3,,36.25,0.0,323300.0,11719.0,174000.0,26.3,7.24,2.31,0.60,1.38,12.27,28.64,3.09,2.76,6.92,,361.0,437.0,6.22,,,,,
70,MGT,355.0,i | 1 | 3,,3.5,-2.78,1484200.0,5255.0,1400.0,13.43,2.78,0.15,0.07,0.26,21.45,22.34,14.59,2.78,24.95,,241.0,186.0,0.4,,,,,
71,MILL,358.0,i | 1 | 2 | 3,,1.17,0.0,4945000.0,5792.0,5417.0,,0.90,2.23,,0.0,0.9,-3.21,1.96,0.26,31.1,,,,,,,,,
72,MONO,366.0,i | 1 | 2 | 3,,1.79,-2.19,3907600.0,7054.0,6213.0,,4.59,2.26,,0.0,-4.82,-17.26,2.33,,24.92,,,,,,,,,
73,MSC,371.0,i | 1 | 3,,6.4,-0.78,1739800.0,11409.0,2304.0,14.73,1.18,0.66,0.30,0.43,5.41,8.02,2.88,4.65,30.98,,494.0,528.0,-4.98,,,,,
74,MTC,372.0,i | 1 | 2 | 3,,63.25,-1.17,6956600.0,438791.0,134090.0,25.06,6.08,2.73,0.37,2.52,11.58,27.16,35.61,0.58,32.12,,355.0,440.0,0.54,,,,,
