,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
180,DUSIT,180.0,i | 2,,9.65,0.0,54000.0,517.0,8203.0,,1.88,,,0.0,-2.08,-19.46,7.07,,26.81,,,,,,,,,
187,EE,187.0,i | 1 | 2 | 3,,1.04,-2.8,11939900.0,12466.0,2891.0,61.96,1.96,0.11,,0.02,2.94,3.24,1120.38,,32.11,,952.0,944.0,-3.28,,,,,
191,EMC,191.0,i | 1 | 2 | 3,,0.29,0.0,64268200.0,18065.0,2446.0,29.16,1.16,0.47,,0.01,3.34,4.12,2.54,,30.99,,792.0,792.0,0.11,,,,,
193,EPG,193.0,i | 1 | 2 | 3,,13.0,0.78,45757400.0,595634.0,36400.0,29.86,3.30,0.38,0.19,0.44,8.95,11.3,12.54,2.17,25.9,,578.0,541.0,-7.51,,,,,
195,ESSO,195.0,i | 1 | 2 | 3,,7.4,-3.27,15869800.0,118900.0,25610.0,21.63,1.48,3.28,,0.34,2.75,7.25,7.1,,34.01,,621.0,753.0,0.71,,,,,
197,ETC,197.0,i | 1 | 3,,2.98,-1.97,15147900.0,45201.0,6675.0,30.89,2.57,0.57,,0.1,6.91,7.34,26.43,,33.85,,693.0,618.0,,,,,,
200,F&D,200.0,i | 1 | 3,,22.5,-2.17,400.0,9.0,397.0,13.03,0.37,0.38,,1.73,2.41,2.87,1.1,,24.82,,641.0,655.0,0.05,,,,,
202,FE,202.0,i | 1 | 2 | 3,,190.0,0.0,0.0,0.0,1495.0,21.95,1.07,0.25,7.50,8.65,6.47,6.27,1.39,4.08,22.08,,656.0,562.0,-3.38,,,,,
203,FLOYD,203.0,i | 1 | 2 | 3,,1.8,-2.7,233800.0,423.0,648.0,35.41,1.58,0.15,,0.05,4.59,4.56,4.26,,27.13,,824.0,784.0,2.79,,,,,
204,FMT,204.0,i | 1 | 2 | 3,,27.75,-0.89,1500.0,42.0,1332.0,14.05,0.80,0.96,1.63,1.97,3.81,5.7,4.86,5.80,25.54,,567.0,600.0,-2.05,,,,,
